taxid,taxaname
2169610,Protobacilladnavirus
2202646,unclassified Bacilladnaviridae
3044652,Aberdnavirus
3044743,Keisodnavirus
3044797,Puahadnavirus
3044818,Seawadnavirus
2946798,Andurilvirus
2946809,Arnorvirus
2948727,Glamdringvirus
2948730,Grondvirus
2948758,Herugrimvirus
2948763,Illuinvirus
2948881,Ringilvirus
2948948,Vingilotevirus
39725,Circovirus
642248,unclassified Circoviridae
742826,environmental samples
742914,Cyclovirus
2169575,Bovismacovirus
2169659,Cosmacovirus
2169660,Dragsmacovirus
2169661,Drosmacovirus
2169662,Huchismacovirus
2169663,Porprismacovirus
2259884,unclassified Smacoviridae
2842392,Babosmacovirus
2842561,Bonzesmacovirus
2842565,Bostasmacovirus
2842680,Felismacovirus
2842760,Inpeasmacovirus
3044839,Temfrudevirus
3044862,Yermavirus
3152499,Ketkevirus
3152500,Kopavirus
3152501,Manawavirus
3152503,Patavirus
251096,Babuvirus
104766,Nanovirus
2732653,Torbevirus
2948818,Menegrothvirus
2948835,Nauglamirvirus
2948841,Nimphelosvirus
2948863,Phialvirus
2946799,Angainorvirus
2948715,Galvornvirus
2948817,Mazarbulvirus
2948825,Mithrilvirus
2948943,Valinorvirus
3152473,Andorivirus
3152474,Caradhivirus
3152475,Celebovirus
3152477,Enedivirus
3152478,Harfovirus
3152483,Stoorivirus
3152484,Taravirus
3152485,Telperivirus
3152486,Tharbavirus
3152487,Ulwavirus
3152488,Valarivirus
3152489,Vanyarvirus
3152944,Aglavirus
3152950,Melianvirus
3152873,Satyrivirus
3153047,Pylenevirus
3153055,Tethyvirus
3152645,Asperivirus
3152646,Atroxivirus
3152650,Belligerivirus
3152653,Citiorivirus
3152668,Rapidusivirus
3152670,Roburiusivirus
3152684,Virilianivirus
3153056,Amaruvirus
3152920,Chinseivirus
3152923,Kaiwanvirus
3152925,Kronovirus
3152926,Ninurtavirus
3152929,Sadornvirus
3152931,Sakkuthvirus
3152934,Saothovirus
3152936,Scythevirus
3152939,Shanivirus
3152979,Acamarivirus
3152981,Anthevirus
3152982,Cursavirus
2777364,Serratia phage vB_SmaS_Bigdog
2914027,Serratia phage vB_SmaS_Bonzee
2902692,Serratia phage vB_SmaS_Stoker
2902694,Serratia phage vB_SmaS_Ulliraptor
2793708,Streptomyces phage TurkishDelight
2926084,Streptomyces phage AxeJC
2736271,Streptomyces phage Cumberbatch
2926097,Streptomyces phage Eastland
2743999,Streptomyces phage Eklok
2926108,Streptomyces phage HFrancette
2736272,Streptomyces phage Ignacio
2910765,Streptomyces phage Piccadilly
2736273,Streptomyces phage Vondra
2834256,Pseudomonas phage Medea1
2713260,Arthrobacter phage Whytu
2776857,Arthrobacter phage Yavru
3425078,Nicoomyvirus
3152878,Acciovirus
3152879,Aguamentivirus
3152880,Alohovirus
3152885,Engorgivirus
3152888,Impedivirus
3152891,Patrovirus
10812,Mastrevirus
10813,Curtovirus
10814,Begomovirus
70692,unclassified Geminiviridae
220339,Topocuvirus
1298630,Becurtovirus
1298631,Turncurtovirus
1298632,Eragrovirus
2022857,Capulavirus
2034995,Grablovirus
2842607,Citlodavirus
2842848,Maldovirus
2842884,Mulcrilevirus
2842928,Opunvirus
2843099,Topilevirus
1941235,unclassified Genomoviridae
1941236,Gemykibivirus
1941238,Gemykolovirus
1985365,Gemyduguivirus
1985366,Gemygorvirus
1985367,Gemykrogvirus
1985368,Gemykroznavirus
1985369,Gemytondvirus
1985370,Gemyvongvirus
2842699,Gemytripvirus
1542744,Gemycircularvirus
1911604,Alphapleolipovirus
1911605,Betapleolipovirus
1911606,Gammapleolipovirus
181083,Chlorovirus
181084,Prasinovirus
181085,Phaeovirus
181086,Prymnesiovirus
346673,Coccolithovirus
455363,unclassified Phycodnaviridae
573012,Raphidovirus
3044727,Heliosvirus
3044778,Oceanusvirus
3044674,Biavirus
3044747,Kratosvirus
985780,unclassified Mimiviridae
1977630,Klosneuvirinae
3044638,Aliimimivirinae
3044648,Megamimivirinae
3152632,Alphacedratvirus
3153020,Alphaorpheovirus
10486,Iridoviridae
43682,Ascoviridae
944644,Marseilleviridae
2999013,Streptomyces phage Success
39743,Asfivirus
10241,Chordopoxvirinae
10284,Entomopoxvirinae
2902690,Serratia phage vB_SmaS_Opt-155
2562181,Serratia phage Serbin
2894809,Serratia phage vB_SmaS_Tlacuache
3152609,Burquivirus
1932924,Sputnikvirus
2268405,unclassified Lavidaviridae
993034,Mavirus
2169669,Alphatectivirus
2169670,Betatectivirus
2560136,Gammatectivirus
2842639,Deltatectivirus
2842670,Epsilontectivirus
10509,Mastadenovirus
10552,Aviadenovirus
129876,Siadenovirus
691957,Ichtadenovirus
2843079,Testadenovirus
3152491,Barthadenovirus
2927284,Arthrobacter phage Shambre1
1445858,Enterococcus phage IME-EFm1
2845523,Livvievirus viph1249a
2845771,Paulavirus viph1044o
2845772,Paulavirus viph1080o
3426338,Ameliavirus viph1008o
3431219,Oliviavirus viph1020o
2842368,Alphadintovirus
2842404,Betadintovirus
3424669,Phypoliviridae
1511859,Alphaturrivirus
3425022,Merivirus
3044701,Delusorvirus
3044658,Antichaacvirus
3044732,Homochaacvirus
2733303,Finnlakevirus
2022739,Alphatristromavirus
2842549,Betatristromavirus
3044865,Yumkaaxvirus
2948650,Captovirus
341940,Betalipothrixvirus
341942,unclassified Lipothrixviridae
564646,Deltalipothrixvirus
187213,Rudivirus
2842391,Azorudivirus
2842738,Hoswirudivirus
2842752,Icerudivirus
2842769,Itarudivirus
2842772,Japarudivirus
2843109,Usarudivirus
1911908,Begomovirus-associated alphasatellite sp.
666147,Euphorbia yellow mosaic virus associated DNA 1
743041,Tomato leaf curl Cameroon alphasatellite [CM:OMHD3:Ok:09]
743042,Tomato leaf curl Cameroon alphasatellite [CM:TOS2D1:To:09]
1407057,Tomato leaf curl alphasatellite
743026,Okra yellow crinkle Cameroon alphasatellite [CM:Lys1sp2:09]
743027,Okra yellow crinkle Cameroon alphasatellite [CM:Lys1sp3:09]
2699487,Cotton leaf curl Gezira alphasatellite 3
1455654,Milk vetch dwarf C3 alphasatellite
1980173,Sophora alopecuroides yellow stunt alphasatellite 8
1980174,Sophora alopecuroides yellow stunt alphasatellite 9
1458459,Subterranean clover stunt C6 alphasatellite
1453083,Faba bean necrotic yellows C9 alphasatellite
1455652,Milk vetch dwarf C10 alphasatellite
1455651,Milk vetch dwarf C1 alphasatellite
2056781,Cow vetch latent virus alphasatellite
2052606,Faba bean necrotic yellows virus associated alphasatellite 1
587314,Tobacco leaf curl betasatellite-[Pakistan:Multan:Pedilanthus:2004]
552509,Leptopilina boulardi filamentous virus
1346829,Peridroma alphabaculovirus
3048196,Alphabaculovirus altermaconfiguratae
10454,Spodoptera exigua multiple nucleopolyhedrovirus
31507,Anticarsia gemmatalis nucleopolyhedrovirus
38012,Malacosoma neustria nucleopolyhedrovirus
307461,Apocheima cinerarium nucleopolyhedrovirus
307466,Euproctis digramma nucleopolyhedrovirus
447897,Mythimna unipuncta nucleopolyhedrovirus
542343,Adoxophyes orana nucleopolyhedrovirus
566270,Spodoptera litura nucleopolyhedrovirus II
2594175,Dione juno nucleopolyhedrovirus
2605775,Rachiplusia nu nucleopolyhedrovirus
224399,Adoxophyes honmai nucleopolyhedrovirus
208013,Agrotis ipsilon multiple nucleopolyhedrovirus
1962501,Agrotis segetum nucleopolyhedrovirus A
1580580,Agrotis segetum nucleopolyhedrovirus B
161494,Antheraea pernyi nucleopolyhedrovirus
268591,Anticarsia gemmatalis multiple nucleopolyhedrovirus
307456,Autographa californica multiple nucleopolyhedrovirus
271108,Bombyx mori nucleopolyhedrovirus
74320,Buzura suppressaria nucleopolyhedrovirus
1850906,Catopsilia pomona nucleopolyhedrovirus
74660,Choristoneura fumiferana DEF multiple nucleopolyhedrovirus
208973,Choristoneura fumiferana multiple nucleopolyhedrovirus
1987479,Choristoneura murinana nucleopolyhedrovirus
58094,Choristoneura rosaceana nucleopolyhedrovirus
320432,Chrysodeixis chalcites nucleopolyhedrovirus
1307957,Clanis bilineata nucleopolyhedrovirus
1906244,Cyclophragma undans nucleopolyhedrovirus
59376,Ectropis obliqua nucleopolyhedrovirus
70600,Epiphyas postvittana nucleopolyhedrovirus
307467,Euproctis pseudoconspersa nucleopolyhedrovirus
51313,Helicoverpa armigera nucleopolyhedrovirus
28288,Hyphantria cunea nucleopolyhedrovirus
1070315,Hyposidra talaca nucleopolyhedrovirus
1642929,Lambdina fiscellaria nucleopolyhedrovirus
1307956,Leucania separata nucleopolyhedrovirus
10449,Lymantria dispar multiple nucleopolyhedrovirus
78219,Mamestra brassicae multiple nucleopolyhedrovirus
207830,Mamestra configurata nucleopolyhedrovirus A
1307954,Maruca vitrata nucleopolyhedrovirus
1046267,Operophtera brumata nucleopolyhedrovirus
490711,Orgyia leucostigma nucleopolyhedrovirus
262177,Orgyia pseudotsugata multiple nucleopolyhedrovirus
1242863,Spodoptera exempta nucleopolyhedrovirus
10455,Spodoptera frugiperda multiple nucleopolyhedrovirus
10456,Spodoptera littoralis nucleopolyhedrovirus
46242,Spodoptera litura nucleopolyhedrovirus
1563660,Sucra jujuba nucleopolyhedrovirus
101850,Thysanoplusia orichalcea nucleopolyhedrovirus
332054,Trichoplusia ni single nucleopolyhedrovirus
1675866,Urbanus proteus nucleopolyhedrovirus
65124,Wiseana signata nucleopolyhedrovirus
3047754,Alphabaculovirus alterchrincludentis
1592576,Condylorrhiza vestigialis mutiple nucleopolyhedrovirus
2560521,Hemileuca species nucleopolyhedrovirus
2560562,Lonomia obliqua nucleopolyhedrovirus
166921,Lymantria xylina nucleopolyhedrovirus
2560642,Perigonia lusca nucleopolyhedrovirus
2913600,Erannis ankeraria nucleopolyhedrovirus
2933796,Olene mendosa nucleopolyhedrovirus
80366,Rachiplusia ou multiple nucleopolyhedrovirus
2863583,Trabala vishnou gigantina nucleopolyhedrovirus
2304025,Cryptophlebia peltastica nucleopolyhedrovirus
2083176,Oxyplax ochracea nucleopolyhedrovirus
2315721,Spodoptera eridania nucleopolyhedrovirus
2760664,Matsumuraeses phaseoli granulovirus
170617,Adoxophyes orana granulovirus
10464,Agrotis segetum granulovirus
283675,Clostera anachoreta granulovirus
1986289,Clostera anastomosis granulovirus A
1986290,Clostera anastomosis granulovirus B
1750712,Cnaphalocrocis medinalis granulovirus
35254,Cryptophlebia leucotreta granulovirus
28289,Cydia pomonella granulovirus
1675862,Diatraea saccharalis granulovirus
166056,Epinotia aporema granulovirus
307444,Erinnyis ello granulovirus
115813,Harrisina brillians granulovirus
489830,Helicoverpa armigera granulovirus
52412,Lacanobia oleracea granulovirus
2072024,Mocis latipes granulovirus
192584,Phthorimaea operculella granulovirus
262175,Plodia interpunctella granulovirus
98383,Plutella xylostella granulovirus
307454,Spodoptera frugiperda granulovirus
359919,Spodoptera litura granulovirus
10462,Trichoplusia ni granulovirus
51677,Xestia c-nigrum granulovirus
56947,Choristoneura fumiferana granulovirus
307448,Hyphantria cunea granulovirus
36355,Pseudalatia unipuncta granulovirus
249151,Neodiprion lecontei nucleopolyhedrovirus
111874,Neodiprion sertifer nucleopolyhedrovirus
204507,Neodiprion abietis nucleopolyhedrovirus
130556,Culex nigripalpus nucleopolyhedrovirus
379529,Glossina pallidipes salivary gland hypertrophy virus
523909,Musca domestica salivary gland hypertrophy virus
2057187,Drosophila innubila nudivirus
432587,Gryllus bimaculatus nudivirus
92521,Oryctes rhinoceros nudivirus
2053981,Tomelloso virus
1654582,Kallithea virus
2486603,Mauternbach virus
2072209,Esparto virus
29250,Heliothis zea nudivirus
1128424,Helicoverpa zea nudivirus 2
1546257,Tipula oleracea nudivirus
2509616,Homarus gammarus nudivirus
1529056,Penaeus monodon nudivirus
2880837,Carcinus maenas nudivirus
2880838,Crangon crangon nudivirus
2842743,Hukuchivirus
2843153,Yingchengvirus
1714268,Alphasphaerolipovirus
2715733,Candidatus Chazhemtobacteraceae
3120113,Minisyncoccia
3121609,Candidatus Bipolaricaulaceae
2093822,Candidatus Nanosynbacteraceae
2171986,Candidatus Saccharimonadaceae
2986071,unclassified Candidatus Minimicrobia
2841264,Candidatus Minimicrobia vallesae
2665156,Candidatus Mycosynbacter amalyticus
2497645,Candidatus Babeliaceae
2953756,Candidatus Chromulinivoraceae
2900570,Candidatus Absconditicoccus
1548548,Bradymonas sediminis
2292766,Persicimonas caeni
2600177,Microvenator marinus
1228987,cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko
3039986,Nodosilineaceae
3079746,Cymatolegaceae
1890429,Acaryochloridaceae
2881378,Thermosynechococcaceae
2303507,Oculatellaceae
1890438,Leptolyngbyaceae
2303527,Trichocoleusaceae
3079752,Geitlerinemataceae
1892251,Coleofasciculaceae
1890431,Chamaesiphonaceae
1892255,Gomontiellaceae
1162,Nostocaceae
1182,Scytonemataceae
1185,Rivulariaceae
119859,Tolypothrichaceae
1892259,Aphanizomenonaceae
1892261,Chlorogloeopsidaceae
1892263,Hapalosiphonaceae
2661849,Calotrichaceae
3079761,Nodulariaceae
1890498,Dermocarpellaceae
1890500,Hyellaceae
1890422,Gloeobacteraceae
3079741,Anthocerotibacteraceae
1118,Chroococcales
1150,Oscillatoriales
1890426,Synechococcaceae
1890428,Merismopediaceae
1890647,Synechococcales incertae sedis
2881426,Prochlorococcaceae
1890528,Chroococcidiopsidaceae
1955043,Gloeomargaritaceae
1890436,Pseudanabaenaceae
2689587,Suicoccus
2761542,Fundicoccus
2862144,Ruoffia
1375,Aerococcus
13075,Globicatella
46123,Abiotrophia
66831,Facklamia
89092,Ignavigranum
191769,Marinilactibacillus
1470540,Jeotgalibaca
1651,Alloiococcus
2747,Carnobacterium
29393,Dolosigranulum
82800,Desemzia
82802,Trichococcus
99906,Alkalibacterium
117563,Granulicatella
1301,Streptococcus
1357,Lactococcus
1930830,Floricoccus
3436058,Pseudolactococcus
46254,Oenococcus
46255,Weissella
559173,Fructobacillus
2742598,Limosilactobacillus
2759736,Lacticaseibacillus
2767842,Lactiplantibacillus
2767874,Acetilactobacillus
2767875,Agrilactobacillus
2767876,Amylolactobacillus
2767877,Apilactobacillus
2767878,Bombilactobacillus
2767879,Companilactobacillus
2767880,Dellaglioa
2767881,Fructilactobacillus
2767882,Furfurilactobacillus
2767884,Lapidilactobacillus
2767885,Latilactobacillus
2767886,Levilactobacillus
2767887,Ligilactobacillus
2767888,Liquorilactobacillus
2767889,Loigolactobacillus
2767890,Paucilactobacillus
2767891,Schleiferilactobacillus
2767892,Secundilactobacillus
2767893,Lentilactobacillus
2930384,Periweissella
2978367,Nicoliella
3118928,Xylocopilactobacillus
1243,Leuconostoc
1253,Pediococcus
1578,Lactobacillus
1350,Enterococcus
2737,Vagococcus
33969,Melissococcus
51668,Tetragenococcus
227979,Jeotgalicoccus
489909,Nosocomiicoccus
2803850,Mammaliicoccus
3076173,Macrococcoides
1279,Staphylococcus
45669,Salinicoccus
69965,Macrococcus
197483,unclassified Bacillaceae
200903,Paraliobacillus
289201,Pontibacillus
331654,Alkalibacillus
351195,Salimicrobium
379065,Caldalkalibacillus
400634,Lysinibacillus
459532,Terribacillus
482460,Sediminibacillus
484508,Ornithinibacillus
704093,Anaerobacillus
1055323,Aeribacillus
1221880,Psychrobacillus
1270155,Falsibacillus
1276290,Caldibacillus
1400133,Allobacillus
1433999,Domibacillus
1434042,Salisediminibacterium
1494427,Tepidibacillus
1884449,Salipaludibacillus
2005375,Alkalicoccus
2651279,Pradoshia
2675229,Peribacillus
2675230,Cytobacillus
2675231,Mesobacillus
2675232,Neobacillus
2675233,Metabacillus
2675234,Alkalihalobacillus
2685905,Salicibibacter
2785518,Radiobacillus
2800373,Priestia
2804231,Lederbergia
2837485,Evansella
2837502,Ectobacillus
2837503,Gottfriedia
2837504,Heyndrickxia
2837506,Niallia
2837507,Robertmurraya
2837508,Rossellomorea
2837510,Siminovitchia
2837511,Sutcliffiella
2893055,Halalkalibacterium (ex Joshi et al. 2022)
2893056,Halalkalibacter
2893057,Shouchella
2893060,Alkalihalophilus
2920444,Mangrovibacillus
2944627,Paenalkalicoccus
3033930,Fervidibacillus
3034001,Caldifermentibacillus
3158337,Aciduricibacillus
1370,Marinococcus
1386,Bacillus
29331,Amphibacillus
45667,Halobacillus
74385,Gracilibacillus
84406,Virgibacillus
108525,Pseudobacillus
175304,Lentibacillus
182709,Oceanobacillus
496496,Viridibacillus
648800,Solibacillus
648802,Rummeliibacillus
651660,Paenisporosarcina
889388,Chryseomicrobium
941338,Bhargavaea
2703677,Metasolibacillus
1372,Planococcus
1569,Sporosarcina
1649,Kurthia
157226,Jeotgalibacillus
160795,Ureibacillus
162291,Planomicrobium
1637,Listeria
2755,Brochothrix
475230,Pullulanibacillus
2077,Sporolactobacillus
329857,Cohnella
456492,Saccharibacillus
2994560,Candidatus Pristimantibacillus
44249,Paenibacillus
55080,Brevibacillus
76632,Thermobacillus
85151,Aneurinibacillus group
432330,Tumebacillus
1129704,Kyrpidia
1502725,Effusibacillus
3156481,Fodinisporobacter
29330,Alicyclobacillus
292635,Laceyella
1274351,Kroppenstedtia
1348505,Polycladomyces
1677050,Novibacillus
2689589,Staphylospora
2023,Thermoactinomyces
539003,Bacillales Family X. Incertae Sedis
539742,Bacillales Family XII. Incertae Sedis
1378,Gemella
1955413,Abyssicoccus
3389905,Anoxybacteroides
3390020,Thermaerobacillus
29395,Saccharococcus
129337,Geobacillus
150247,Anoxybacillus
1906945,Parageobacillus
1329200,Fictibacillus
2893058,Pseudalkalibacillus
3421338,Guptibacillus
264995,Anaerofustis
274470,Alkalibacter
1730,Eubacterium
33951,Acetobacterium
113286,Pseudoramibacter
2282741,Desulfofundulus
2282742,Desulfofarcimen
2651578,Thermanaerosceptrum
2840454,Candidatus Formimonas
2903061,Phosphitispora
2916693,Desulforamulus
2924872,Acididesulfobacillus
51514,Dehalobacterium
216851,Faecalibacterium
236752,Fastidiosipila
244127,Anaerotruncus
253238,Ethanoligenens
292632,Subdoligranulum
459786,Oscillibacter
946234,Flavonifractor
1017280,Pseudoflavonifractor
1508657,Ruminiclostridium
1637257,Mageeibacillus
1905344,Ruthenibacterium
2038676,Paludihabitans
2172004,Lawsonibacter
2304687,Petroclostridium
2304691,Thermoclostridium
2591381,Dysosmobacter
2834348,Caproicibacterium
2842531,Solibaculum
2892396,Vescimonas
2892397,Pusillibacter
3048127,Thermocaproicibacter
3079925,Amygdalobacter
3389389,Bengtsoniella
3393728,Owariibacterium
1263,Ruminococcus
35829,Acetivibrio
539000,Clostridiales Family XVII. Incertae Sedis
543313,Eubacteriales Family XII. Incertae Sedis
543347,Clostridiales Family XVI. Incertae Sedis
1392389,Intestinimonas
1686313,Fenollaria
1715798,Levyella
1918454,Flintibacter
415014,Proteiniborus
1006480,Caldinitratiruptor
2733,Symbiobacterium
1491776,Proteinivorax
2838170,Alkalicella
2867376,Desulfoscipio
36853,Desulfitobacterium
51196,Syntrophobotulus
56112,Dehalobacter
79206,Desulfosporosinus
1562,Desulfotomaculum
278993,Thermincola
3046369,Aristaeella
1738645,Caproiciproducens
1918385,Acutalibacter
2576755,Caproicibacter
580596,Butyricicoccus
1928820,Intestinibacillus
2048137,Agathobaculum
44258,Caloramator
49082,Candidatus Arthromitus
420345,Lactonifactor
1155385,Proteiniclasticum
1434026,Oceanirhabdus
1755832,Haloimpatiens
1769729,Hathewaya
1848399,Crassaminicella
1884926,Wukongibacter
1266,Sarcina
1485,Clostridium
79598,Heliorestis
2831443,Heliomicrobium
129001,Syntrophothermus
2293313,Candidatus Syntrophocurvum
862,Syntrophomonas
3065157,Helicovermis profundi
2807497,Natranaerofaba
375928,Natranaerobius
2770094,Biomaibacter
499228,Tepidanaerobacter
291988,Thermosediminibacter
2786989,Koleobacter
44260,Neomoorella
202949,Thermanaeromonas
3234175,Metallumcola
2748674,Zhaonella
166484,Caminicella
44259,Filifactor
186831,Acetoanaerobium
114627,Alkaliphilus
1890059,Serpentinicella
390805,Geosporobacter
1481960,Peptoclostridium
214904,Tepidibacter
1501226,Romboutsia
1505652,Terrisporobacter
1505657,Intestinibacter
1849822,Paraclostridium
1870884,Clostridioides
2743582,Peptacetobacter
1257,Peptostreptococcus
1926556,Emergencia
1926667,Ihubacter
2060094,Aminipila
2886866,Sinanaerobacter
3408579,Anoxybacterium
86331,Mogibacterium
990721,Christensenella
2039240,Anaerotignum
189330,Dorea
207244,Anaerostipes
248744,Marvinbryantia
572511,Blautia
1164882,Lachnoanaerobaculum
1213720,Stomatobaculum
1407607,Fusicatenibacter
1432051,Eisenbergiella
1506553,Lachnoclostridium
1506577,Tyzzerella
1649459,Hungatella
1663717,Herbinix
1766253,Agathobacter
1769710,Sellimonas
1843210,Anaerocolumna
2005355,Faecalimonas
2163168,Kineothrix
2316020,Mediterraneibacter
2569097,Anaerobutyricum
2719231,Lacrimispora
2719313,Enterocloster
2811390,Sporofaciens
2888809,Novisyntrophococcus
2941495,Otoolea
2944152,Wujia
2944193,Simiaoa
2944195,Qiania
2944198,Wansuia
2997360,Anaeropeptidivorans
3024823,Anaeromicropila
3031933,Chordicoccus
3073585,Hominifimenecus
3076670,Claveliimonas
3088373,Chakrabartyella
3342669,Eshraghiella
830,Butyrivibrio
841,Roseburia
2383,Candidatus Epulonipiscium
28050,Lachnospira
33042,Coprococcus
46205,Pseudobutyrivibrio
1185408,Defluviitalea
2603323,Petrocella
1348611,Vallitalea
698776,Cellulosilyticum
2039302,Monoglobus
28186,Acetohalobium
42417,Halobacteroides
52003,Natroniella
1769008,Anoxybacter
32636,Halothermothrix
2330,Halanaerobium
46466,Halocella
2899804,Iocasia
189326,Gelria
249529,Caldanaerobacter
3051499,Aceticella
1754,Thermoanaerobacter
28895,Thermoanaerobacterium
42837,Ammonifex
129957,Carboxydothermus
140458,Thermacetogenium
252965,Mahella
471826,Candidatus Desulforudis
2943184,Tannockella
3025755,Thomasclavelia
135858,Catenibacterium
2678885,Faecalibacillus
191303,Turicibacter
174708,Allobaculum
1729679,Faecalibaculum
1918536,Longicatena
1924110,Massilimicrobiota
2679910,Intestinibaculum
2749267,Amedibacterium
2749846,Amedibacillus
3059504,Allocoprobacillus
1647,Erysipelothrix
61170,Holdemania
118747,Bulleidia
123375,Solobacterium
904,Acidaminococcus
33024,Phascolarctobacterium
39948,Dialister
906,Megasphaera
29465,Veillonella
2093783,Methylomusa
2375,Sporomusa
365348,Pelosinus
3074372,Selenobaculum
864,Pectinatus
970,Selenomonas
158846,Megamonas
1676651,Limnochorda
3366853,Carboxydichorda
3366854,Geochorda
2692382,Gudongella
41273,Tissierella
1505664,Gottschalkia
171003,Caloranaerobacter
2992720,Acidilutibacter
165812,Sporanaerobacter
1354809,Keratinibaculum
2794837,Schnuerera
2126548,Miniphocaeibacter
2981628,Aedoeadaptatus
3421489,Microaceticoccus
31983,Helcococcus
150022,Finegoldia
162289,Peptoniphilus
165779,Anaerococcus
543311,Parvimonas
1161127,Murdochiella
2649220,unclassified Sedimentibacter
1852374,Ezakiella massiliensis
46507,Ezakiella coagulans
32631,Anaerocellum
44000,Caldicellulosiruptor
338648,Candidatus Contubernalis
2494209,Capsulimonas
1077265,Chthonomonas
1005038,Fimbriimonas
1077886,Thermanaerothrix
1649478,Pelolinea
2019482,Candidatus Brevifilum
233189,Anaerolinea
3143248,Candidatus Lucifugimonadaceae
61434,Dehalococcoides
670486,Dehalogenimonas
2692417,Ktedonosporobacter
233191,Caldilinea
3140596,Candidatus Leptofilum
1988031,Candidatus Promineifilum
1495649,Thermoflexus
2922426,Phototrophicus
2682228,Tepidiforma
1106,Chloroflexaceae
1508635,Roseiflexaceae
3139173,Candidatus Chlorohelix
262406,Thermobaculum
908623,Euzebya
1747770,Egibacter
1755825,Egicoccus
2843200,Miltoncostaea
2600304,Baekduia
3231543,Svornostia
2758920,Paraconexibacter
2976759,Capillimicrobium
191494,Conexibacter
192992,Thermoleophilum
2050,Mobiluncus
28263,Arcanobacterium
76833,Actinobaculum
184869,Varibaculum
1069494,Trueperella
1522056,Flaviflexus
1653174,Actinotignum
2529408,Schaalia
2692113,Gleimia
2692118,Winkia
2740557,Pauljensenia
2767318,Boudabousia
2767323,Buchananella
2815785,Scrofimicrobium
2888879,Nanchangia
2912996,Changpingibacter
1654,Actinomyces
196081,Scardovia
196082,Parascardovia
419014,Alloscardovia
1159909,Bombiscardovia
1678,Bifidobacterium
2701,Gardnerella
162491,Oerskovia
458839,Actinotalea
665568,Paraoerskovia
1926259,Pseudactinotalea
1707,Cellulomonas
157920,Cellulosimicrobium
186188,Xylanimonas
254250,Isoptericola
43676,Promicromonospora
1184606,Austwickia
2885697,Gephyromycinifex
1862,Dermatophilus
3162691,Saxibacter
1696,Brevibacterium
472568,Devriesea
1161125,Helcobacillus
36739,Dermabacter
43668,Brachybacterium
99479,Nostocoides
136099,Knoellia
267408,Arsenicicoccus
367298,Phycicoccus
556178,Humibacillus
1849973,Oryzobacter
2805645,Pedococcus
53355,Terrabacter
53357,Intrasporangium
53457,Janibacter
43673,Jonesia
96492,Frigoribacterium
110932,Leifsonia
110934,Agreia
120212,Subtercola
190323,Plantibacter
235888,Salinibacterium
256818,Gulosibacter
337004,Microcella
427753,Humibacter
447237,Frondihabitans
518733,Microterricola
881616,Herbiconiux
1029631,Amnibacterium
1195526,Gryllotalpicola
1230698,Marisediminicola
1433997,Diaminobutyricimonas
1434009,Homoserinimonas
1434022,Naasia
1434032,Pontimonas
1649454,Glaciihabitans
1649457,Homoserinibacter
1655488,Luna cluster
1705353,Aurantimicrobium
1759331,Cnuibacter
1857011,Lysinibacter
2680004,Protaetiibacter
3108736,Antiquaquibacter
3110364,Paramicrobacterium
3137419,Ruicaihuangia
3425211,Humidisolicoccus
3440766,Orlajensenia
1573,Clavibacter
2034,Curtobacterium
33877,Agromyces
33882,Microbacterium
33886,Rathayibacter
46352,Agrococcus
55968,Leucobacter
69578,Cryobacterium
76634,Mycetocola
947525,Miniimonas
84756,Beutenbergia
745364,Luteipulveratus
908935,Yimella
1535207,Barrientosiimonas
2040262,Allobranchiibius
57495,Dermacoccus
154116,Georgenia
60919,Sanguibacter
754249,Luteimicrobium
1465824,Timonella
2888818,Pengzhenrongella
577469,Demequina
2828348,Occultella
626119,Ruania
57499,Kytococcus
125287,Ornithinimicrobium
265976,Serinicoccus
2038,Tropheryma
1269,Micrococcus
1645,Renibacterium
1663,Arthrobacter
32207,Rothia
57493,Kocuria
57494,Nesterenkonia
169133,Citricoccus
370735,Zhihengliuella
596707,Sinomonas
1160973,Auritidibacter
1742989,Glutamicibacter
1742990,Paeniglutamicibacter
1742991,Pseudoglutamicibacter
1742992,Paenarthrobacter
1742993,Pseudarthrobacter
1868332,Neomicrococcus
2078575,Psychromicrobium
85043,Williamsia
2979332,Prescottella
3259750,Rhodococcoides
1817,Nocardia
1827,Rhodococcus
2053,Gordonia
59613,Skermania
2060,Tsukamurella
37914,Dietzia
286801,Segniliparus
741759,Tomitella
1847725,Lawsonella
697025,Hoyosella
1716,Corynebacterium
1763,Mycobacterium
670516,Mycobacteroides
1073531,Mycolicibacter
1866885,Mycolicibacterium
2126281,Mycolicibacillus
35753,Dactylosporangium
53365,Catellatospora
56433,Couchioplanes
168694,Salinispora
203522,Longispora
265431,Solwaraspora
338583,Polymorphospora
349312,Krasilnikovia
390988,Actinocatenispora
673534,Plantactinospora
907364,Phytohabitans
2920401,Natronosporangium
3240234,Paractinoplanes
1865,Actinoplanes
1873,Micromonospora
116071,Micropruina
1546255,Mumia
3024237,Solicola
1839,Nocardioides
2040,Aeromicrobium
2044,Pimelobacter
53387,Friedmanniella
182639,Kribbella
117156,Actinopolymorpha
33983,Luteococcus
72763,Tessaracoccus
203133,Propionimicrobium
369926,Brooklawnia
1085622,Propioniciclava
